rotation,method,ip_err
rht,direct-m512-o8,446.213074
rht,direct-m512-o8,327.207092
rht,direct-m512-o8,387.196167
rht,direct-m512-o8,353.036255
rht,direct-m512-o8,374.928589
rht,direct-m512-o8,178.298462
rht,direct-m512-o8,400.639038
rht,direct-m512-o8,371.537231
rht,direct-m512-o8,296.48645
rht,direct-m512-o8,324.311768
rht,direct-m512-o8,345.273315
rht,direct-m512-o8,232.407104
rht,direct-m512-o8,227.151245
rht,direct-m512-o8,419.008911
rht,direct-m512-o8,353.959839
rht,direct-m512-o8,364.367065
rht,direct-m512-o8,338.905396
rht,direct-m512-o8,354.560181
rht,direct-m512-o8,421.747559
rht,direct-m512-o8,301.807373
rht,direct-m512-o8,441.932495
rht,direct-m512-o8,413.645142
rht,direct-m512-o8,324.311768
rht,direct-m512-o8,258.246338
rht,direct-m512-o8,297.757324
rht,direct-m512-o8,347.102173
rht,direct-m512-o8,501.461365
rht,direct-m512-o8,305.671021
rht,direct-m512-o8,358.702515
rht,direct-m512-o8,390.7323
rht,direct-m512-o8,411.918823
rht,direct-m512-o8,386.918091
rht,direct-m512-o8,249.173828
rht,direct-m512-o8,392.672241
rht,direct-m512-o8,162.494629
rht,direct-m512-o8,249.24115
rht,direct-m512-o8,401.49939
rht,direct-m512-o8,282.208618
rht,direct-m512-o8,378.783081
rht,direct-m512-o8,366.401489
rht,direct-m512-o8,186.130615
rht,direct-m512-o8,236.51886
rht,direct-m512-o8,173.076782
rht,direct-m512-o8,312.943604
rht,direct-m512-o8,381.473022
rht,direct-m512-o8,259.274536
rht,direct-m512-o8,378.155884
rht,direct-m512-o8,418.872314
rht,direct-m512-o8,351.775391
rht,direct-m512-o8,306.431885
rht,direct-m512-o8,387.564697
rht,direct-m512-o8,501.461365
rht,direct-m512-o8,365.613525
rht,direct-m512-o8,375.104004
rht,direct-m512-o8,416.882385
rht,direct-m512-o8,331.947632
rht,direct-m512-o8,371.071045
rht,direct-m512-o8,325.87915
rht,direct-m512-o8,252.859985
rht,direct-m512-o8,381.610107
rht,direct-m512-o8,427.312134
rht,direct-m512-o8,342.603271
rht,direct-m512-o8,387.196167
rht,direct-m512-o8,393.421265
rht,direct-m512-o8,466.418274
rht,direct-m512-o8,352.550598
rht,direct-m512-o8,421.593018
rht,direct-m512-o8,394.832031
rht,direct-m512-o8,461.745605
rht,direct-m512-o8,362.898438
rht,direct-m512-o8,386.312012
rht,direct-m512-o8,428.229614
